topic,question,choiceA,choiceB,choiceC,choiceD,answer,svg,image
geometry,What is the area of a rectangle measuring 15 ft by 12 ft?,120 ft²,150 ft²,180 ft²,210 ft²,C,<svg viewBox='0 0 320 220'><rect x='70' y='60' width='180' height='100' fill='#dbeafe' stroke='#1f5f8b' stroke-width='3'/><text x='120' y='185'>15 ft</text><text x='260' y='120'>12 ft</text></svg>,
geometry,What is the circumference of a circle with radius 10 ft?,31.4 ft,62.8 ft,78.5 ft,100 ft,B,<svg viewBox='0 0 320 220'><circle cx='160' cy='110' r='70' fill='#dcfce7' stroke='#15803d' stroke-width='3'/><line x1='160' y1='110' x2='230' y2='110' stroke='#15803d' stroke-width='3'/><text x='185' y='100'>r=10 ft</text></svg>,
triangle,What is the hypotenuse of a right triangle with sides 6 ft and 8 ft?,9 ft,10 ft,12 ft,14 ft,B,"<svg viewBox='0 0 320 220'><polygon points='60,170 220,170 60,70' fill='#fef3c7' stroke='#b45309' stroke-width='3'/><text x='120' y='190'>6 ft</text><text x='30' y='120'>8 ft</text></svg>",
polygon,How many diagonals does a pentagon have?,3,5,7,10,B,"<svg viewBox='0 0 320 220'><polygon points='160,40 245,95 210,180 110,180 75,95' fill='#fee2e2' stroke='#b91c1c' stroke-width='3'/></svg>",
angles,What is the sum of the interior angles of a triangle?,90°,180°,270°,360°,B,"<svg viewBox='0 0 320 220'><polygon points='160,40 250,170 70,170' fill='#f0fdf4' stroke='#166534' stroke-width='3'/></svg>",
geometry,What is the area of a circle with radius 6 ft?,56.5 ft²,75.4 ft²,113.1 ft²,226.2 ft²,C,<svg viewBox='0 0 320 220'><circle cx='160' cy='110' r='65' fill='#e0f2fe' stroke='#0369a1' stroke-width='3'/><text x='185' y='100'>r=6 ft</text></svg>,
coordinate,"Point A is located at (4,3). In which quadrant is it?",Quadrant I,Quadrant II,Quadrant III,Quadrant IV,A,<svg viewBox='0 0 320 220'><line x1='160' y1='20' x2='160' y2='200' stroke='#475569' stroke-width='2'/><line x1='40' y1='110' x2='280' y2='110' stroke='#475569' stroke-width='2'/><circle cx='220' cy='65' r='7' fill='#dc2626'/><text x='230' y='65'>A</text></svg>,
trapezoid,What is the area of a trapezoid with bases 10 ft and 16 ft and height 8 ft?,84 ft²,96 ft²,104 ft²,112 ft²,C,"<svg viewBox='0 0 320 220'><polygon points='100,60 220,60 260,160 60,160' fill='#ede9fe' stroke='#6d28d9' stroke-width='3'/><text x='130' y='50'>10 ft</text><text x='120' y='185'>16 ft</text><text x='265' y='115'>8 ft</text></svg>",
hexagon,How many sides does a hexagon have?,5,6,7,8,B,"<svg viewBox='0 0 320 220'><polygon points='110,55 210,55 260,110 210,165 110,165 60,110' fill='#e0f2fe' stroke='#0369a1' stroke-width='3'/></svg>",
cylinder,What shape is the top face of a cylinder?,Square,Rectangle,Circle,Ellipse,C,<svg viewBox='0 0 320 220'><ellipse cx='160' cy='60' rx='80' ry='28' fill='#e0e7ff' stroke='#4338ca' stroke-width='3'/><path d='M80 60 V160' stroke='#4338ca' stroke-width='3'/><path d='M240 60 V160' stroke='#4338ca' stroke-width='3'/><ellipse cx='160' cy='160' rx='80' ry='28' fill='#eef2ff' stroke='#4338ca' stroke-width='3'/></svg>,
image-geometry,What shape is shown in the image?,Triangle,Circle,Rectangle,Hexagon,A,,img/q/0001c.png
image-geometry,How many sides does the polygon have?,4,5,6,8,B,,img/q/0002c.png
image-circle,Identify the radius shown in the image.,Line from center to circumference,Diameter,Chord,Tangent,A,,img/q/0003c.png
image-triangle,What type of triangle is shown?,Right Triangle,Equilateral Triangle,Scalene Triangle,Isosceles Triangle,D,,img/q/0004c.png
image-coordinate,Which quadrant contains Point A?,Quadrant I,Quadrant II,Quadrant III,Quadrant IV,A,,img/q/0005c.png
image-area,Which formula should be used for this figure?,Circle Area,Triangle Area,Rectangle Area,Trapezoid Area,D,,img/q/0006c.png
image-polygon,What is the name of this shape?,Pentagon,Hexagon,Heptagon,Octagon,B,,img/q/0007c.png
image-volume,Which solid is displayed?,Cylinder,Cone,Cube,Sphere,A,,img/q/0008c.png
image-angle,Estimate the angle shown.,45°,60°,90°,120°,C,,img/q/0009c.png
image-graph,What does the highlighted point represent?,X-Intercept,Y-Intercept,Origin,Maximum Point,C,,img/q/0010c.png
